Category,Description,Material,Qty,Unit,Unit Price,Total,Currency
slab,F1 Floor Slab — RC slab (120mm) incl. formwork + rebar,Concrete_C30,20.0,m2,1200,24000.0,HKD
wall,F1 Exterior Walls — Common brick wall (200mm) incl. render,Brick_Common,50.4,m2,850,42840.0,HKD
window,F1 Windows — Thermal-break aluminum + Low-E double glazing,Glass_Double_LowE,15.1,m2,3800,57380.0,HKD
door,F1 Doors — Solid wood door (900mm) + frame + hardware,Wood_Door,1,ea,8500,8500,HKD
finish,F1_study Floor Finish — Carpet with underlay,Carpet,20.0,m2,280,5600.0,HKD
roof,Roof — RC roof slab + waterproofing + insulation,Concrete_C30,20.0,m2,1500,30000.0,HKD

,,,,,,Subtotal,168320.0
,,,,,,MEP (25%),42080.0
,,,,,,Prelim (12%),20198.4
,,,,,,Contingency (10%),23059.84
,,,,,,Grand Total,253658.24
